ID,Sex,Animal Weight,Material,Session,Cohort,Fluid,Concentration,Start,Stop,Leak,Diff,Intake,mls,mlskg
3C,F,20,Plastic,3,2,Quinine,30,17.03,16.02,,1.0100000000000016,52.137712595781096,,50.499508538782976
4C,F,20,Plastic,3,2,Quinine,30,15.66,15.25,,0.41000000000000014,21.164814024029923,,20.499800495941578
5C,M,26,Plastic,3,2,Quinine,30,17.84,17.35,,0.48999999999999844,19.45733371815127,,18.845970437169488
6C,M,26,Plastic,3,2,Quinine,30,15.59,15.08,,0.5099999999999998,20.251510604606477,,19.615193720319315
7C,M,25,Plastic,3,2,Quinine,30,16.63,15.24,,1.3899999999999988,57.403105352978656,,55.59945890606587
1C,F,19,Plastic,3,2,Water,,12.53,10.64,,1.8899999999999988,99.47368421052626,1.8899999999999988,
2C,F,20,Plastic,3,2,Water,,15.94,13.22,,2.719999999999999,135.99999999999994,2.719999999999999,
3C,F,20,Plastic,3,2,Water,,16.11,13.11,,3,150,3,
4C,F,20,Plastic,3,2,Water,,15.18,10.86,,4.32,216,4.32,
5C,M,26,Plastic,3,2,Water,,17.11,14.51,,2.5999999999999996,99.99999999999997,2.5999999999999996,
6C,M,26,Plastic,3,2,Water,,16.29,13.8,,2.4899999999999984,95.76923077,2.4899999999999984,
7C,M,25,Plastic,3,2,Water,,15.49,12.52,,2.9700000000000006,118.80000000000003,2.9700000000000006,
1D,F,20,Metal,3,2,Quinine,30,53.18,52.31,,0.8699999999999974,44.910702929038955,,43.49957666211979
2D,F,20,Metal,3,2,Quinine,30,54.88,53.92,,0.9600000000000009,49.55663771,,47.99953286854616
3D,F,18,Metal,3,2,Quinine,30,55.06,54.56,,0.5,28.678609788658424,,27.777507447075298
4D,F,19,Metal,3,2,Quinine,30,55.95,54.92,,1.0300000000000011,55.96857110333976,,54.20999874408175
5D,M,23,Metal,3,2,Quinine,30,55.07,53.69,,1.3800000000000026,61.94579714350231,,59.99941608568276
6D,M,23,Metal,3,2,Quinine,30,55.77,54.07,,1.7000000000000028,76.31003995938688,,73.91232416352223
7D,M,23,Metal,3,2,Quinine,30,51.05,50.11,,0.9399999999999977,42.19496327166082,,40.86916748
1D,F,20,Metal,3,2,Water,,48.83,46.26,,2.5700000000000003,128.5,2.5700000000000003,
2D,F,20,Metal,3,2,Water,,50.59,46.51,,4.080000000000005,204.00000000000026,4.080000000000005,
